OBJECTID,poly_SourceOID,poly_IncidentName,poly_FeatureCategory,poly_MapMethod,poly_GISAcres,poly_DeleteThis,poly_FeatureAccess,poly_FeatureStatus,poly_IsVisible,poly_CreateDate,poly_DateCurrent,poly_PolygonDateTime,poly_IRWINID,poly_FORID,poly_Acres_AutoCalc,poly_SourceGlobalID,poly_Source,attr_SourceOID,attr_ABCDMisc,attr_ADSPermissionState,attr_CalculatedAcres,attr_ContainmentDateTime,attr_ControlDateTime,attr_CreatedBySystem,attr_IncidentSize,attr_DiscoveryAcres,attr_DispatchCenterID,attr_EstimatedCostToDate,attr_FinalAcres,attr_FFReportApprovedByTitle,attr_FFReportApprovedByUnit,attr_FFReportApprovedDate,attr_FireBehaviorGeneral,attr_FireBehaviorGeneral1,attr_FireBehaviorGeneral2,attr_FireBehaviorGeneral3,attr_FireCause,attr_FireCauseGeneral,attr_FireCauseSpecific,attr_FireCode,attr_FireDepartmentID,attr_FireDiscoveryDateTime,attr_FireMgmtComplexity,attr_FireOutDateTime,attr_FireStrategyConfinePercent,attr_FireStrategyFullSuppPrcnt,attr_FireStrategyMonitorPercent,attr_FireStrategyPointZonePrcnt,attr_FSJobCode,attr_FSOverrideCode,attr_GACC,attr_ICS209ReportDateTime,attr_ICS209RptForTimePeriodFrom,attr_ICS209RptForTimePeriodTo,attr_ICS209ReportStatus,attr_IncidentManagementOrg,attr_IncidentName,attr_IncidentShortDescription,attr_IncidentTypeCategory,attr_IncidentTypeKind,attr_InitialLatitude,attr_InitialLongitude,attr_InitialResponseAcres,attr_InitialResponseDateTime,attr_IrwinID,attr_IsFireCauseInvestigated,attr_IsFireCodeRequested,attr_IsFSAssisted,attr_IsMultiJurisdictional,attr_IsReimbursable,attr_IsTrespass,attr_IsUnifiedCommand,attr_LocalIncidentIdentifier,attr_ModifiedBySystem,attr_PercentContained,attr_PercentPerimToBeContained,attr_POOCity,attr_POOCounty,attr_POODispatchCenterID,attr_POOFips,attr_POOJurisdictionalAgency,attr_POOJurisdictionalUnit,attr_POOJurisdictUnitParentUnit,attr_POOLandownerCategory,attr_POOLandownerKind,attr_POOLegalDescPrincipalMerid,attr_POOLegalDescQtr,attr_POOLegalDescQtrQtr,attr_POOLegalDescRange,attr_POOLegalDescSection,attr_POOLegalDescTownship,attr_POOPredictiveServiceAreaID,attr_POOProtectingAgency,attr_POOProtectingUnit,attr_POOState,attr_PredominantFuelGroup,attr_PredominantFuelModel,attr_PrimaryFuelModel,attr_SecondaryFuelModel,attr_TotalIncidentPersonnel,attr_UniqueFireIdentifier,attr_FORID,attr_WFDSSDecisionStatus,attr_EstimatedFinalCost,attr_OrganizationalAssessment,attr_StratDecisionPublishDate,attr_CreatedOnDateTime_dt,attr_ModifiedOnDateTime_dt,attr_Source,attr_ActiveFireCandidate,attr_IsCpxChild,attr_CpxName,attr_CpxID,attr_SourceGlobalID,GlobalID,Shape__Area,Shape__Length,attr_IncidentComplexityLevel
38321,8571,Long Drive,Wildfire Daily Fire Perimeter,Mixed Methods,0.966787557172381,No,Public,Approved,Yes,4/6/2025 8:36:14 PM,4/7/2025 12:57:20 PM,4/6/2025 8:18:34 PM,{19CE74B1-0C9B-4724-9BEB-221633BD62BF},,0.966787584868721,{ECB14F73-D291-4757-A7C4-13D98FD66637},2025 NIFS,38402668,,DEFAULT,,,,iffrs,0.95,0.01,WIWISC,,0.95,,,,,,,,Human,,,SKM9,,4/6/2025 6:45:00 PM,,,,,,,,,EACC,,,,,,Long Drive,,WF,FI,43.52678,-90.65823,,,{19CE74B1-0C9B-4724-9BEB-221633BD62BF},,0,,,,,,FIRE123391,iffrs,,,,Richland,WIWIC,55103,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123391,,No Decision,,,,4/6/2025 7:18:50 PM,4/11/2025 12:27:07 PM,IRWIN,1,0,,,{83CF2BFF-01DC-401A-9F33-5E9C0E4F6124},f146ffba-f0d7-4b37-ac9e-9088082982df,4.35457423009211E-07,0.0047737893994121,
38330,8565,Too Soon ,Wildfire Daily Fire Perimeter,Mixed Methods,39.1,No,Public,Approved,Yes,4/6/2025 8:14:56 PM,4/7/2025 3:28:24 PM,4/6/2025 8:06:18 PM,{C20CAC6B-88F1-4D3C-9481-0C8CD783AAAC},,39.0828488217529,{4DBE7775-DB00-4769-A3CF-EE8805C5C9A1},2025 NIFS,38402806,,DEFAULT,,,,wildcade,39.1,39.1,MTMCC,,,,,,,,,,Human,,,,,4/6/2025 7:30:00 PM,,,,,,,,,NRCC,,,,,,Too Soon - Custer,,WF,FI,46.635332,-105.53265,,,{C20CAC6B-88F1-4D3C-9481-0C8CD783AAAC},,0,,,,,,000096,wildcade,,,,Custer,MTMCC,30017,,,,Private,Private,,,,,,,NR16,C&L,MTLG14,US-MT,,,,,,2025-MTLG14-000096,,No Decision,,,,4/7/2025 3:27:39 PM,4/7/2025 3:27:39 PM,IRWIN,1,0,,,{8B64F65A-505C-4BF7-8CC6-5C49E0A1E3D7},e60a113f-eebc-4589-b819-9b9766245de7,1.85822814273706E-05,0.0337780423278369,
38332,8561,Jaworski Road,Wildfire Daily Fire Perimeter,Mixed Methods,1.98,No,Public,Approved,Yes,4/6/2025 7:43:38 PM,4/7/2025 3:43:43 PM,4/6/2025 8:47:20 PM,{F242AED5-273A-4BBE-B9A4-E749B6B1C540},,1.97740847520945,{80B8D123-4344-4DF8-A8D0-13EE478476F1},2025 NIFS,38402675,,DEFAULT,,,,iffrs,1.98,0.5,WIWISC,,1.98,,,,,,,,Human,,,SKN2,,4/6/2025 7:30:00 PM,,,,,,,,,EACC,,,,,,Jaworski Road,,WF,FI,44.68183,-88.20077,,,{F242AED5-273A-4BBE-B9A4-E749B6B1C540},,0,,,,,,FIRE123394,iffrs,,,,Oconto,WIWIC,55083,,,,Private,Private,,,,,,,EA06,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123394,,No Decision,,,,4/6/2025 7:43:23 PM,4/10/2025 8:15:21 PM,IRWIN,1,0,,,{EBDC382B-0F47-4BAE-BF10-CBE2C980F69C},be149fb3-056a-410c-b3ba-e6606c830af7,9.083005352295E-07,0.00588937495508027,
38418,8625,Hill Rd,Wildfire Daily Fire Perimeter,Mixed Methods,0.99,No,Public,Approved,Yes,4/7/2025 2:12:23 PM,4/10/2025 8:39:44 PM,4/10/2025 3:16:28 PM,{19B667ED-FEB3-4FB0-B1B3-54F484B0E195},,0.997038169445025,{4D0AB4BA-3CC4-4B70-A924-773CBD6904BB},2025 NIFS,38402777,,DEFAULT,,,,iffrs,0.99,0.99,WIWISC,,,,,,,,,,Human,,,SKQ7,,4/7/2025 5:00:00 AM,,,,,,,,,EACC,,,,,,Hill Rd,,WF,FI,44.54576,-91.03409,,,{19B667ED-FEB3-4FB0-B1B3-54F484B0E195},,0,,,,,,FIRE123405,iffrs,,,,Jackson,WIWIC,55053,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123405,,No Decision,,,,4/7/2025 2:11:52 PM,4/10/2025 3:16:19 PM,IRWIN,1,0,,,{2FD3ECBC-232A-453E-A5C2-EEF936069A70},454bc55d-dbad-4099-8639-d6d83b5a62f2,4.56909674539929E-07,0.00885435038744674,
38370,8687,SUGARLOAF.    ,Wildfire Daily Fire Perimeter,Auto-generated for InFORM,43.2,No,Public,Approved,Yes,4/7/2025 9:34:25 PM,4/8/2025 3:36:21 PM,4/8/2025 12:14:50 AM,{04979CF9-29F7-4A27-9602-C30AD011EBC6},,43.1781115594091,{3679D9B6-0F72-42B4-97CA-CCE7E299C2DC},2025 NIFS,38402918,,DEFAULT,,,,wildcade,43,3,NMABC,,,,,,,,,,Human,,,SKX7,,4/7/2025 8:13:19 PM,,,,,,,PN,1522,SWCC,,,,,,SUGARLOAF,,WF,FI,34.098492,-107.942725,,,{04979CF9-29F7-4A27-9602-C30AD011EBC6},,0,1,,,,,000133,wildcade,,,,Catron,NMABC,35003,,,,Private,Private,,,,,,,SW08,SF,NMN3S,US-NM,,,,,,2025-NMN3S-000133,,No Decision,,,,4/7/2025 9:33:54 PM,4/8/2025 3:49:30 PM,IRWIN,1,0,,,{E5516D8B-6DA9-484B-BE6E-14CFFB9C079B},148df7ca-a7d9-410e-9e65-58b6e10ca09c,1.70707028246397E-05,0.0303813093931107,
38401,8732,Roberts,Wildfire Daily Fire Perimeter,Mixed Methods,5.85,No,Public,Approved,Yes,4/8/2025 5:49:57 PM,4/10/2025 1:05:59 PM,4/9/2025 10:01:35 PM,{4ECF56BD-9E64-419B-93BB-8E792CA47A77},,5.85787603742792,{C1BA6463-E43F-46AD-9960-18F77727E74D},2025 NIFS,38403029,,DEFAULT,,,,iffrs,5.85,0.25,WIWISC,,,,,,,,,,Human,,,SKZ4,,4/8/2025 5:44:00 PM,,,,,,,,,EACC,,,,,,Roberts,,WF,FI,44.22549,-90.78516,,,{4ECF56BD-9E64-419B-93BB-8E792CA47A77},,0,,,,,,FIRE123415,iffrs,,,,Jackson,WIWIC,55053,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123415,,No Decision,,,,4/8/2025 5:49:34 PM,4/9/2025 10:01:08 PM,IRWIN,1,0,,,{0C0E84FB-18DD-4059-8188-744D4ABB4715},3052fa9e-e761-4952-9513-24da93080219,2.66999245468469E-06,0.00937487178985828,
38416,8755,Double E,Wildfire Daily Fire Perimeter,Mixed Methods,24.6,No,Public,Approved,Yes,4/8/2025 7:43:46 PM,4/10/2025 8:30:46 PM,4/8/2025 10:59:04 PM,{E8895D32-0197-4413-A0A4-503FDA6642D9},,24.6317703188942,{A7F9B099-BB49-49E1-9C33-1DE6309C81B2},2025 NIFS,38403064,,DEFAULT,,,,iffrs,24.6,0.01,WIWISC,,,,,,,,,,Human,,,SK0C,,4/8/2025 7:00:00 PM,,,,,,,,,EACC,,,,,,Double E,,WF,FI,44.33584,-89.39003,,,{E8895D32-0197-4413-A0A4-503FDA6642D9},,0,,,,,,FIRE123418,iffrs,,,,Portage,WIWIC,55097,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123418,,No Decision,,,,4/8/2025 7:43:14 PM,4/10/2025 3:07:58 PM,IRWIN,1,0,,,{AEEE749C-9AEE-4AAC-8963-9B6CE2B2F2CD},bcd8cf41-af7f-48ff-a199-b577116eb89a,1.12482159693172E-05,0.0212925988972363,
38385,8762,Adams,Wildfire Daily Fire Perimeter,Mixed Methods,0.04,No,Public,Approved,Yes,4/8/2025 8:25:32 PM,4/10/2025 1:34:06 PM,4/8/2025 8:30:03 PM,{F9F373E6-ABEE-4A4E-9FEE-E2437292105C},,0.0401347128869976,{361D6FD6-9542-46AA-82DA-729911C0ABF7},2025 NIFS,38403068,,DEFAULT,,,,iffrs,0.04,0.1,WIWISC,,,,,,,,,,Human,,,SK0D,,4/8/2025 7:45:00 PM,,,,,,,,,EACC,,,,,,Adams,,WF,FI,45.11983,-89.74716,,,{F9F373E6-ABEE-4A4E-9FEE-E2437292105C},,0,,,,,,FIRE123419,iffrs,,,,Marathon,WIWIC,55073,,,,Private,Private,,,,,,,EA04,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123419,,No Decision,,,,4/8/2025 7:54:13 PM,4/12/2025 4:44:33 PM,IRWIN,1,0,,,{56D75DF9-6986-4CCC-BCC1-3D873F656969},53dfa0d0-6d8f-407d-bf2a-fb3ddfd469cb,1.85737007996067E-08,0.00120892938384146,
38431,8788,Quebec,Wildfire Daily Fire Perimeter,Mixed Methods,0.2,No,Public,Approved,Yes,4/8/2025 11:08:16 PM,4/11/2025 1:05:07 PM,4/10/2025 8:57:01 PM,{44862308-D1BB-4B3E-BF6A-DE35F68733C0},,0.201772181769357,{E5A355A3-9822-45BB-A7BE-53EBEE16848F},2025 NIFS,38403131,,DEFAULT,,,,iffrs,0.2,0.01,WIWISC,,,,,,,,,,Human,,,SK0V,,4/8/2025 10:55:00 PM,,,,,,,,,EACC,,,,,,Quebec,,WF,FI,43.3055,-90.50228,,,{44862308-D1BB-4B3E-BF6A-DE35F68733C0},,0,,,,,,FIRE123425,iffrs,,,,Richland,WIWIC,55103,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123425,,No Decision,,,,4/8/2025 11:08:01 PM,4/10/2025 8:56:31 PM,IRWIN,1,0,,,{9720616E-8229-426C-9867-547A12042160},e97a43b9-8190-48c6-9790-7392d8e7c3de,9.05856722965837E-08,0.00119983603473537,
38406,8837,Casper Creek,Wildfire Daily Fire Perimeter,Mixed Methods,163.272802702735,No,Public,Approved,Yes,4/9/2025 4:12:17 PM,4/10/2025 3:58:57 PM,,{A83A0F4C-B7EC-4117-B6BE-6B2ED6EAF2A3},,163.272752350648,{876BCC28-B2EE-4CE4-9EC0-2529D6EB448B},2025 NIFS,38403153,,DEFAULT,,,,wildcade,163.3,40,WYCPC,,,,,,,,,,Human,,,SK00,,4/9/2025 12:46:59 AM,,,,,,,,,RMCC,,,,,,Casper Creek,,WF,FI,42.879733,-106.397333,,,{A83A0F4C-B7EC-4117-B6BE-6B2ED6EAF2A3},,0,1,,,,,250040,wildcade,,,,Natrona,WYCPC,56025,,,,Private,Private,,,,,,,RM08,C&L,WYNAX,US-WY,,,,,,2025-WYNAX-250040,,No Decision,,,,4/9/2025 1:11:17 AM,4/9/2025 4:46:36 PM,IRWIN,1,0,,,{1A208C72-F423-4694-B142-186DADE0A978},8a7f9071-4dc4-4b99-afe9-77994594d795,7.28181648810278E-05,0.0763526762251888,
38417,8983,Willow,Wildfire Daily Fire Perimeter,Mixed Methods,0.53,No,Public,Approved,Yes,4/10/2025 3:17:57 PM,4/10/2025 8:41:30 PM,4/10/2025 6:44:01 PM,{AB622AAA-5ECA-44F9-8F28-C47EB1C97060},,0.527395224381495,{3A8525B8-7C62-4E87-A682-821FB68FD429},2025 NIFS,38403239,,DEFAULT,,,,iffrs,0.53,0.5,WIWISC,,,,,,,,,,Human,,,SK1F,,4/9/2025 1:45:00 PM,,,,,,,,,EACC,,,,,,Willow,,WF,FI,45.41914,-90.61726,,,{AB622AAA-5ECA-44F9-8F28-C47EB1C97060},,0,,,,,,FIRE123428,iffrs,,,,Price,WIWIC,55099,,,,Private,Private,,,,,,,EA04,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123428,,No Decision,,,,4/9/2025 2:58:15 PM,4/10/2025 6:43:28 PM,IRWIN,1,0,,,{CBB3F4E7-B246-4B17-B8F4-2AABFEE3B5EE},463e17eb-9fb6-48bb-93d3-80390050a938,2.45483988692285E-07,0.00237893586167918,
38429,8846,Sandy,Wildfire Daily Fire Perimeter,Mixed Methods,0.25,No,Public,Approved,Yes,4/9/2025 5:05:22 PM,4/11/2025 1:04:33 PM,4/9/2025 5:49:52 PM,{56A8CFE3-2786-4E28-ACA8-8FA6C608013C},,0.248798431284445,{3FE2D26B-E468-4395-9688-18ADEE428C5E},2025 NIFS,38403290,,DEFAULT,,,,iffrs,0.25,0.01,WIWISC,,,,,,,,,,Human,,,SK1S,,4/9/2025 3:00:00 PM,,,,,,,,,EACC,,,,,,Sandy,,WF,FI,43.20731,-90.63188,,,{56A8CFE3-2786-4E28-ACA8-8FA6C608013C},,0,,,,,,FIRE123429,iffrs,,,,Richland,WIWIC,55103,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123429,,No Decision,,,,4/9/2025 5:04:46 PM,4/10/2025 9:04:40 PM,IRWIN,1,0,,,{513E0676-A2A1-47A3-BBB6-4AC3730185C8},2af4dbb2-251c-4177-9302-53071e061f39,1.11521785584046E-07,0.00133918381037371,
38442,9148,CPED-RX FMZ11-20250409-01,Prescribed Fire,Hand Sketch,27.51,No,Public,Approved,Yes,4/11/2025 5:15:56 PM,4/11/2025 5:15:56 PM,4/9/2025 7:00:00 PM,{947EAD37-4938-4A11-99BF-9CF787363B89},,27.5079003283436,{358B58D3-4537-4517-A65F-2A702F4F6C4D},2025 NIFS,38403760,,DEFAULT,,,,INFORM_Inspector,27.5,27.5,NHNEC,,,,,,,,,,,,,,,4/9/2025 4:00:16 PM,,,,,,,,,EACC,,,,,,CPED-RX FMZ11-20250409-01,,RX,FI,,,,,{947EAD37-4938-4A11-99BF-9CF787363B89},,0,0,,,,,MAARNG-09,INFORM_Inspector,,,,Barnstable,NHNEC,25001,,,,DOD,Federal,,,,,,,EA23,FFC,MAMAS,US-MA,,,,,,2025-MAMAS-MAARNG-09,,No Decision,,,,4/11/2025 5:10:17 PM,4/11/2025 5:10:17 PM,IRWIN,1,0,,,{1CEECC9F-DE61-4086-8C11-3467D2A25BB1},7f99d508-638b-45be-a2ac-9b1582296a89,1.203372312375E-05,0.0141231116181087,
38399,8924,Salt Flats,Wildfire Daily Fire Perimeter,Mixed Methods,148.406354358708,No,Public,Approved,Yes,4/9/2025 11:28:51 PM,4/10/2025 1:40:42 AM,4/9/2025 11:28:48 PM,{57059290-942F-4CC2-939A-37117109AFA0},,148.405819633859,{0673DC91-4A7C-44E0-A160-AE2E09F38BCF},2025 NIFS,38403318,,DEFAULT,,,,firesponse,157,157,TXTIC,0,,,,,Minimal,,Smoldering,,Undetermined,Undetermined (remarks required),Origin and/or cause not identified,,,4/9/2025 6:19:56 PM,Type 3 Incident,,0,100,0,0,,,SACC,4/11/2025 10:09:10 PM,4/11/2025 12:30:00 PM,4/11/2025 9:30:00 PM,U,Type 4 IC,Salt Flats,"Two miles south of Rockport, TX",WF,FI,27.993962,-97.104833,,,{57059290-942F-4CC2-939A-37117109AFA0},,0,,,,,1,252063,firesponse,95,100,"Rocport, TX",Aransas,TXTIC,48007,SFS,TXTXS,,Private,Private,,,,,,,SA15,SFS,TXTXS,US-TX,,,Brush (2 feet),,21,2025-TXTXS-252063,,No Decision,,,,4/9/2025 7:13:07 PM,4/11/2025 11:29:26 PM,IRWIN,1,0,,,{53A8FE4D-8D1E-4E30-BEEA-C28940D17888},1cb116b3-e8bb-4120-a26a-328eca3b5be2,5.5095616971812E-05,0.0467084903555471,Type 4 Incident
38420,8879,Golden Valley,Wildfire Daily Fire Perimeter,Mixed Methods,79.74,No,Public,Approved,Yes,4/9/2025 8:49:42 PM,4/11/2025 1:06:38 PM,4/10/2025 6:41:47 PM,{6CB86C35-F416-4E49-AACF-9A190F6D5C96},,79.7858892220498,{32828AB7-8F93-4AA9-80CB-A74F0C5A40C5},2025 NIFS,38403341,,DEFAULT,,,,iffrs,79.74,20,WIWISC,,,,,,,,,,Undetermined,,,SK14,,4/9/2025 7:50:00 PM,,,,,,,,,EACC,,,,,,Golden Valley,,WF,FI,44.50447,-91.16098,,,{6CB86C35-F416-4E49-AACF-9A190F6D5C96},,0,,,,,,FIRE123432,iffrs,,,,Jackson,WIWIC,55053,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123432,,No Decision,,,,4/9/2025 8:49:20 PM,4/10/2025 8:54:33 PM,IRWIN,1,0,,,{B2D112A8-074A-4021-A507-0F9E305CDE44},20cde293-da27-48a2-bf4b-cc4478163eb2,3.65399607744621E-05,0.0388408222852671,
38478,9044,FD05047,Wildfire Daily Fire Perimeter,Hand Sketch,0.16,No,Public,Approved,Yes,4/10/2025 8:36:44 PM,4/12/2025 2:21:01 PM,4/10/2025 8:36:45 PM,{6B79DEC0-F8F9-41E4-B935-4E3DB02B1AD9},,0.159172957216465,{073DD12F-2CFF-419F-BAAF-D19D142067B3},2025 NIFS,38403597,,DEFAULT,,,,INFORM_Inspector,0.16,0.16,NHNEC,,,,,,,,,,,,,,,4/9/2025 8:33:05 PM,,,,,,,,,EACC,,,,,,FD05047,,WF,FI,,,,,{6B79DEC0-F8F9-41E4-B935-4E3DB02B1AD9},,0,0,,,,,FD05047,INFORM_Inspector,,,,Essex,NHNEC,25009,,,,Private,Private,,,,,,,EA23,FFC,MAMAS,US-MA,,,,,,2025-MAMAS-FD05047,,No Decision,,,,4/10/2025 8:36:23 PM,4/10/2025 8:36:23 PM,IRWIN,1,0,,,{5255A708-11C0-4831-BF87-A1D2F542BF56},259cfabe-d504-4fba-9c17-1550cde537a2,7.06477294443175E-08,0.00219836522663951,
38473,9297,RX MCWA Westside,Prescribed Fire,Mixed Methods,3247,No,Public,Approved,Yes,4/12/2025 2:13:21 AM,4/12/2025 2:29:29 AM,,{0370C03E-23D2-4E23-98C7-96C33066D9A4},,3247.01231946718,{635FDCD4-CC0B-41C5-B61F-8BDCDD3D3466},2025 NIFS,38403453,,DEFAULT,,,,wildcade,,,ARAOC,,,,,,,,,,Undetermined,,,,,4/10/2025 12:50:49 PM,,,,,,,,,SACC,,,,,,RX MCWA Westside,,RX,FI,34.310417,-94.716033,,,{0370C03E-23D2-4E23-98C7-96C33066D9A4},,0,1,,,,,000921,wildcade,,,,McCurtain,ARAOC,40089,USFS,AROUF,,USFS,Federal,,,,,,,SA17A,USFS,AROUF,US-OK,,,,,,2025-AROUF-000921,,No Decision,,,,4/10/2025 12:51:19 PM,4/10/2025 10:00:52 PM,IRWIN,1,0,,,{E3AE94FF-1A29-4253-AC28-1E56DE2D0172},3bf09394-be4d-4525-973f-b133aa459782,0.00128688210747896,0.251629914048396,
38441,9141,Cotton Corn - Dawson,Wildfire Daily Fire Perimeter,Auto-generated for InFORM,1,No,Public,Approved,Yes,4/11/2025 4:52:15 PM,4/11/2025 5:00:24 PM,4/11/2025 4:52:15 PM,{BC309161-0357-46DC-B4F3-AB51D685AC29},,49.8097395013192,{D81D49A4-F16A-4C35-9DDE-EC5D7D727E19},2025 NIFS,38403754,,DEFAULT,,,,wildcade,49.8,1,MTMCC,,,,,,,,,,Human,,,,,4/10/2025 10:30:00 PM,,,,,,,,,NRCC,,,,,,Cotton Corn - Dawson,,WF,FI,47.334137,-104.46329,,,{BC309161-0357-46DC-B4F3-AB51D685AC29},,0,,,,,,000110,wildcade,,,,Dawson,MTMCC,30021,,,,Private,Private,,,,,,,NR16,C&L,MTLG16,US-MT,,,,,,2025-MTLG16-000110,,No Decision,,,,4/11/2025 4:51:57 PM,4/11/2025 5:00:39 PM,IRWIN,1,0,,,{D5721580-13B9-4080-95B4-228B1B96312E},fb1c38d4-1925-4ff2-b316-efec28d8bf44,2.39890910052054E-05,0.023280747208849,
38479,9104,GRACE,Wildfire Daily Fire Perimeter,Auto-generated for InFORM,25.8,No,Public,Approved,Yes,4/11/2025 12:51:56 PM,4/12/2025 3:08:53 PM,4/11/2025 12:51:56 PM,{2DE91046-E728-40E8-9A92-F941E231A6C0},,25.8064917977619,{08DFE48D-D894-4573-BA10-A346D5E5586D},2025 NIFS,38403685,,DEFAULT,,,,wildcade,15,15,ARAOC,,,,,,,,,,Undetermined,,,SK4L,,4/10/2025 10:30:00 PM,,,,,,,PA,1532,SACC,,,,,,GRACE,,WF,FI,36.503797,-96.334565,,,{2DE91046-E728-40E8-9A92-F941E231A6C0},,0,1,,,,,000941,firecode,,,,Osage,ARAOC,40113,BIA,OKOSA,,BIA,Federal,,,,,,,SA03,BIA,OKOSA,US-OK,,,,,,2025-OKOSA-000941,,No Decision,,,,4/11/2025 12:51:32 PM,4/11/2025 12:53:08 PM,IRWIN,1,0,,,{5168DA93-6700-42CC-80E9-E7C54F02FC7C},39903ca3-0bf2-458a-8501-745cd594536a,1.05052104117931E-05,0.0406882208565683,
38440,9143,Typical Tombre - Richland,Wildfire Daily Fire Perimeter,Auto-generated for InFORM,1,No,Public,Approved,Yes,4/11/2025 4:58:00 PM,4/11/2025 4:59:42 PM,4/11/2025 4:58:00 PM,{733FCC63-B43D-4F68-82B1-7F8D265D269B},,55.6247786859647,{8CD30D7B-D872-4657-BB09-A248844DDB6F},2025 NIFS,38403757,,DEFAULT,,,,wildcade,55.6,1,MTMCC,,,,,,,,,,Human,,,,,4/11/2025 12:00:00 AM,,,,,,,,,NRCC,,,,,,Typical Tombre - Richland,,WF,FI,47.411363,-104.359306,,,{733FCC63-B43D-4F68-82B1-7F8D265D269B},,0,,,,,,000111,wildcade,,,,Richland,MTMCC,30083,,,,Private,Private,,,,,,,NR16,C&L,MTLG27,US-MT,,,,,,2025-MTLG27-000111,,No Decision,,,,4/11/2025 4:57:35 PM,4/11/2025 4:59:57 PM,IRWIN,1,0,,,{CA54A5E0-320E-459E-8C4D-E911318EA564},5b6d03a8-10ad-4b76-bdbb-910b84a3a75d,2.68262006102304E-05,0.0270095398529355,
38470,9202,abc,Wildfire Daily Fire Perimeter,Auto-generated for InFORM,0.25,No,Public,Approved,Yes,4/11/2025 9:01:33 PM,4/11/2025 10:30:52 PM,4/11/2025 9:13:20 PM,{B0A3E575-7681-4933-A517-0A401947908F},,0.128639456651429,{503932BC-2868-4547-BD45-92DD3E6D7780},2025 NIFS,38403833,,DEFAULT,,,,iffrs,0.25,0.01,WIWISC,,,,,,,,,,Human,,,SK5V,,4/11/2025 5:00:00 AM,,,,,,,,,EACC,,,,,,Muscovy,,WF,FI,43.06375,-90.70523,,,{B0A3E575-7681-4933-A517-0A401947908F},,0,,,,,,FIRE123453,iffrs,,,,Grant,WIWIC,55043,,,,Private,Private,,,,,,,EA05,DNR,WIWIS,US-WI,,,,,,2025-WIWIS-FIRE123453,,No Decision,,,,4/11/2025 9:01:15 PM,4/12/2025 4:24:20 PM,IRWIN,1,0,,,{0F045674-DAAD-40BD-93A5-A541730EA922},cedfbadb-c731-410d-a6bf-54aff8f2c25c,5.75280409975676E-08,0.00210263641161287,
38472,9178,RX MCWA West,Prescribed Fire,Mixed Methods,281,No,Public,Approved,Yes,4/11/2025 7:32:15 PM,4/12/2025 2:26:49 AM,4/11/2025 7:32:14 PM,{8A9A52E7-21CF-4B94-8CD1-32A89801BC8D},,280.792836321277,{50496F50-6B7A-41A2-8050-4F143D32D860},2025 NIFS,38403684,,DEFAULT,,,,wildcade,256,,ARAOC,,,,,,,,,,Undetermined,,,,,4/11/2025 12:49:10 PM,,,,,,,,,SACC,,,,,,RX MCWA West,,RX,FI,34.327367,-94.72295,,,{8A9A52E7-21CF-4B94-8CD1-32A89801BC8D},,0,1,,,,,000940,wildcade,,,,McCurtain,ARAOC,40089,USFS,AROUF,,USFS,Federal,,,,,,,SA17A,USFS,AROUF,US-OK,,,,,,2025-AROUF-000940,,No Decision,,,,4/11/2025 12:49:37 PM,4/11/2025 7:31:58 PM,IRWIN,1,0,,,{0B5F8FCE-A23B-4494-962D-5A6C887DB2CE},72d9bcde-325e-4f9d-8779-7c9ceeba46fe,0.000111313216166309,0.0591859072833677,
